time,v
2.390000000000000000e+02,-8.204296875000000000e+01
2.400000000000000000e+02,-8.268920135498046875e+01
2.410000000000000000e+02,-8.325194549560546875e+01
2.420000000000000000e+02,-8.373954772949218750e+01
2.430000000000000000e+02,-8.416020202636718750e+01
2.440000000000000000e+02,-8.452196502685546875e+01
2.450000000000000000e+02,-8.483234405517578125e+01
2.460000000000000000e+02,-8.509825897216796875e+01
2.470000000000000000e+02,-8.532589721679687500e+01
2.480000000000000000e+02,-8.549436187744140625e+01
2.490000000000000000e+02,-8.566575622558593750e+01
2.500000000000000000e+02,-8.581278228759765625e+01
2.510000000000000000e+02,-8.593912506103515625e+01
2.520000000000000000e+02,-8.602148437500000000e+01
2.530000000000000000e+02,-8.612023925781250000e+01
2.540000000000000000e+02,-8.620581054687500000e+01
2.550000000000000000e+02,-8.628030395507812500e+01
2.560000000000000000e+02,-8.634545898437500000e+01
2.570000000000000000e+02,-8.640276336669921875e+01
2.580000000000000000e+02,-8.645345306396484375e+01
2.590000000000000000e+02,-8.649856567382812500e+01
2.600000000000000000e+02,-8.653894805908203125e+01
2.610000000000000000e+02,-8.657535552978515625e+01
2.620000000000000000e+02,-8.660836791992187500e+01
2.630000000000000000e+02,-8.663848114013671875e+01
2.640000000000000000e+02,-8.666611480712890625e+01
2.650000000000000000e+02,-8.669164276123046875e+01
2.660000000000000000e+02,-8.671534729003906250e+01
2.670000000000000000e+02,-8.673746490478515625e+01
2.680000000000000000e+02,-8.675817108154296875e+01
2.690000000000000000e+02,-8.677770233154296875e+01
2.700000000000000000e+02,-8.679612731933593750e+01
2.710000000000000000e+02,-8.681362152099609375e+01
2.720000000000000000e+02,-8.683026123046875000e+01
2.730000000000000000e+02,-8.684613800048828125e+01
2.740000000000000000e+02,-8.686134338378906250e+01
2.750000000000000000e+02,-8.687593841552734375e+01
2.760000000000000000e+02,-8.688993072509765625e+01
2.770000000000000000e+02,-8.690340423583984375e+01
2.780000000000000000e+02,-8.691638183593750000e+01
2.790000000000000000e+02,-8.692890930175781250e+01
2.800000000000000000e+02,-8.694104003906250000e+01
2.810000000000000000e+02,-8.695273590087890625e+01
2.820000000000000000e+02,-8.696408843994140625e+01
2.830000000000000000e+02,-8.697506713867187500e+01
2.840000000000000000e+02,-8.698572540283203125e+01
2.850000000000000000e+02,-8.699610137939453125e+01
2.860000000000000000e+02,-8.700612640380859375e+01
2.870000000000000000e+02,-8.701588439941406250e+01
2.880000000000000000e+02,-8.702536773681640625e+01
2.890000000000000000e+02,-8.703457641601562500e+01
2.900000000000000000e+02,-8.704352569580078125e+01
2.910000000000000000e+02,-8.705226898193359375e+01
2.920000000000000000e+02,-8.706076049804687500e+01
