time,JNCX
4.490000000000000000e+02,-1.170940976589918137e-02
4.500000000000000000e+02,-1.165815256536006927e-02
4.510000000000000000e+02,-1.160811726003885269e-02
4.520000000000000000e+02,-1.155929733067750931e-02
4.530000000000000000e+02,-1.151163782924413681e-02
4.540000000000000000e+02,-1.146515272557735443e-02
4.550000000000000000e+02,-1.141977962106466293e-02
4.560000000000000000e+02,-1.137549430131912231e-02
4.570000000000000000e+02,-1.133229397237300873e-02
4.580000000000000000e+02,-1.129015628248453140e-02
4.590000000000000000e+02,-1.124904863536357880e-02
4.600000000000000000e+02,-1.120894495397806168e-02
4.610000000000000000e+02,-1.116981077939271927e-02
4.620000000000000000e+02,-1.113155949860811234e-02
4.630000000000000000e+02,-1.109419576823711395e-02
4.640000000000000000e+02,-1.105770468711853027e-02
4.650000000000000000e+02,-1.102205738425254822e-02
4.660000000000000000e+02,-1.097912434488534927e-02
4.670000000000000000e+02,-1.094673853367567062e-02
4.680000000000000000e+02,-1.091494318097829819e-02
4.690000000000000000e+02,-1.088366284966468811e-02
4.700000000000000000e+02,-1.085292361676692963e-02
4.710000000000000000e+02,-1.082275994122028351e-02
4.720000000000000000e+02,-1.079315505921840668e-02
4.730000000000000000e+02,-1.076417230069637299e-02
4.740000000000000000e+02,-1.073574554175138474e-02
4.750000000000000000e+02,-1.070792600512504578e-02
4.760000000000000000e+02,-1.068073604255914688e-02
4.770000000000000000e+02,-1.065407227724790573e-02
4.780000000000000000e+02,-1.062795333564281464e-02
4.790000000000000000e+02,-1.060242950916290283e-02
4.800000000000000000e+02,-1.057749800384044647e-02
4.810000000000000000e+02,-1.055318024009466171e-02
4.820000000000000000e+02,-1.052937377244234085e-02
4.830000000000000000e+02,-1.050602737814188004e-02
4.840000000000000000e+02,-1.048319879919290543e-02
4.850000000000000000e+02,-1.046083960682153702e-02
4.860000000000000000e+02,-1.043901592493057251e-02
4.870000000000000000e+02,-1.041763555258512497e-02
4.880000000000000000e+02,-1.039679534733295441e-02
4.890000000000000000e+02,-1.037640031427145004e-02
4.900000000000000000e+02,-1.035648863762617111e-02
4.910000000000000000e+02,-1.033703610301017761e-02
4.920000000000000000e+02,-1.031800918281078339e-02
4.930000000000000000e+02,-1.029943209141492844e-02
4.940000000000000000e+02,-1.028129272162914276e-02
4.950000000000000000e+02,-1.026355288922786713e-02
4.960000000000000000e+02,-1.024621073156595230e-02
4.970000000000000000e+02,-1.022925414144992828e-02
4.980000000000000000e+02,-1.021267008036375046e-02
4.990000000000000000e+02,-1.019639801234006882e-02
5.000000000000000000e+02,-1.018046680837869644e-02
5.010000000000000000e+02,-1.016487926244735718e-02
5.020000000000000000e+02,-1.014963071793317795e-02
5.030000000000000000e+02,-1.013472210615873337e-02
5.040000000000000000e+02,-1.012013386934995651e-02
5.050000000000000000e+02,-1.010586414486169815e-02
5.060000000000000000e+02,-1.009191013872623444e-02
5.070000000000000000e+02,-1.007825229316949844e-02
5.080000000000000000e+02,-1.006488688290119171e-02
5.090000000000000000e+02,-1.005183160305023193e-02
5.100000000000000000e+02,-1.003907807171344757e-02
5.110000000000000000e+02,-1.002658996731042862e-02
5.120000000000000000e+02,-1.001436915248632431e-02
5.130000000000000000e+02,-1.000239979475736618e-02
5.140000000000000000e+02,-9.990667924284934998e-03
5.150000000000000000e+02,-9.979243390262126923e-03
5.160000000000000000e+02,-9.968067519366741180e-03
5.170000000000000000e+02,-9.957117028534412384e-03
5.180000000000000000e+02,-9.946419857442378998e-03
5.190000000000000000e+02,-9.935942478477954865e-03
5.200000000000000000e+02,-9.925715625286102295e-03
5.210000000000000000e+02,-9.915704838931560516e-03
5.220000000000000000e+02,-9.905902668833732605e-03
5.230000000000000000e+02,-9.896334260702133179e-03
5.240000000000000000e+02,-9.886970743536949158e-03
5.250000000000000000e+02,-9.877808392047882080e-03
5.260000000000000000e+02,-9.868841618299484253e-03
5.270000000000000000e+02,-9.860077872872352600e-03
5.280000000000000000e+02,-9.851509705185890198e-03
5.290000000000000000e+02,-9.843126870691776276e-03
5.300000000000000000e+02,-9.834926575422286987e-03
5.310000000000000000e+02,-9.826903231441974640e-03
5.320000000000000000e+02,-9.819021448493003845e-03
5.330000000000000000e+02,-9.811244904994964600e-03
5.340000000000000000e+02,-9.803633205592632294e-03
5.350000000000000000e+02,-9.796184487640857697e-03
5.360000000000000000e+02,-9.788886643946170807e-03
5.370000000000000000e+02,-9.781746193766593933e-03
5.380000000000000000e+02,-9.774755686521530151e-03
5.390000000000000000e+02,-9.767909534275531769e-03
5.400000000000000000e+02,-9.761207737028598785e-03
5.410000000000000000e+02,-9.754636324942111969e-03
5.420000000000000000e+02,-9.748219512403011322e-03
5.430000000000000000e+02,-9.741941466927528381e-03
5.440000000000000000e+02,-9.735787287354469299e-03
5.450000000000000000e+02,-9.729759767651557922e-03
5.460000000000000000e+02,-9.723840281367301941e-03
5.470000000000000000e+02,-9.718068875372409821e-03
5.480000000000000000e+02,-9.712416678667068481e-03
5.490000000000000000e+02,-9.706868790090084076e-03
5.500000000000000000e+02,-9.701426140964031219e-03
5.510000000000000000e+02,-9.696128778159618378e-03
5.520000000000000000e+02,-9.690923616290092468e-03
5.530000000000000000e+02,-9.685806930065155029e-03
5.540000000000000000e+02,-9.680831804871559143e-03
5.550000000000000000e+02,-9.675942361354827881e-03
5.560000000000000000e+02,-9.671134874224662781e-03
5.570000000000000000e+02,-9.666464291512966156e-03
5.580000000000000000e+02,-9.661852382123470306e-03
5.590000000000000000e+02,-9.649873711168766022e-03
5.600000000000000000e+02,-9.646953083574771881e-03
5.610000000000000000e+02,-9.643925353884696960e-03
5.620000000000000000e+02,-9.640746749937534332e-03
5.630000000000000000e+02,-9.637461043894290924e-03
5.640000000000000000e+02,-9.634085930883884430e-03
5.650000000000000000e+02,-9.623124264180660248e-03
5.660000000000000000e+02,-9.621099568903446198e-03
5.670000000000000000e+02,-9.618930518627166748e-03
5.680000000000000000e+02,-9.616472758352756500e-03
5.690000000000000000e+02,-9.613860398530960083e-03
5.700000000000000000e+02,-9.611162357032299042e-03
