time,ci
2.820000000000000000e+02,1.514856666326522827e-01
2.830000000000000000e+02,1.507144421339035034e-01
2.840000000000000000e+02,1.499652862548828125e-01
2.850000000000000000e+02,1.492374986410140991e-01
2.860000000000000000e+02,1.485303491353988647e-01
2.870000000000000000e+02,1.478430628776550293e-01
2.880000000000000000e+02,1.471749842166900635e-01
2.890000000000000000e+02,1.465255022048950195e-01
2.900000000000000000e+02,1.458939462900161743e-01
2.910000000000000000e+02,1.452797651290893555e-01
2.920000000000000000e+02,1.446823924779891968e-01
2.930000000000000000e+02,1.441012173891067505e-01
2.940000000000000000e+02,1.435356885194778442e-01
2.950000000000000000e+02,1.429853737354278564e-01
2.960000000000000000e+02,1.424497514963150024e-01
2.970000000000000000e+02,1.419283896684646606e-01
2.980000000000000000e+02,1.414208412170410156e-01
2.990000000000000000e+02,1.409266740083694458e-01
3.000000000000000000e+02,1.404454112052917480e-01
3.010000000000000000e+02,1.399766802787780762e-01
3.020000000000000000e+02,1.395201236009597778e-01
3.030000000000000000e+02,1.390753537416458130e-01
3.040000000000000000e+02,1.386420279741287231e-01
3.050000000000000000e+02,1.382198184728622437e-01
3.060000000000000000e+02,1.378083378076553345e-01
3.070000000000000000e+02,1.374072134494781494e-01
3.080000000000000000e+02,1.370162218809127808e-01
3.090000000000000000e+02,1.366350501775741577e-01
3.100000000000000000e+02,1.362634748220443726e-01
3.110000000000000000e+02,1.359011530876159668e-01
3.120000000000000000e+02,1.355478465557098389e-01
3.130000000000000000e+02,1.352033168077468872e-01
3.140000000000000000e+02,1.348672509193420410e-01
3.150000000000000000e+02,1.345394998788833618e-01
3.160000000000000000e+02,1.342196762561798096e-01
3.170000000000000000e+02,1.339075565338134766e-01
3.180000000000000000e+02,1.336030811071395874e-01
3.190000000000000000e+02,1.333059519529342651e-01
3.200000000000000000e+02,1.330160498619079590e-01
3.210000000000000000e+02,1.327330172061920166e-01
3.220000000000000000e+02,1.324567496776580811e-01
3.230000000000000000e+02,1.321869343519210815e-01
